                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.18072,                0.18833,                0.78126,                0.99726,                0.99361,                0.99457,                 0.9943,                  0.114,                0.10699,                0.74632,               0.005314,               0.005314,               0.005314
                     73,                 0.1769,                0.18612,                0.78092,                0.99747,                 0.9934,                0.99452,                0.99431,                0.11305,                0.10259,                0.74597,               0.005248,               0.005248,               0.005248
                     74,                0.17782,                0.18686,                0.78174,                0.99741,                0.99298,                0.99455,                0.99432,                0.11552,                0.10489,                0.74644,               0.005182,               0.005182,               0.005182
                     75,                0.17794,                0.18385,                 0.7811,                0.99704,                0.99353,                0.99462,                0.99438,                0.11339,                0.10103,                0.74593,               0.005116,               0.005116,               0.005116
                     76,                0.17697,                0.18117,                0.78095,                0.99689,                0.99288,                0.99472,                0.99449,                0.11343,                0.10268,                0.74591,                0.00505,                0.00505,                0.00505
                     77,                0.17619,                 0.1806,                0.78163,                 0.9974,                0.99383,                0.99472,                 0.9945,                0.11254,                0.10475,                0.74587,               0.004984,               0.004984,               0.004984
                     78,                0.17509,                 0.1791,                0.78015,                0.99675,                0.99364,                0.99469,                 0.9945,                0.11248,                0.10408,                0.74598,               0.004918,               0.004918,               0.004918
                     79,                 0.1748,                0.17616,                0.77929,                0.99707,                0.99451,                 0.9948,                 0.9946,                    inf,                0.09902,                0.74511,               0.004852,               0.004852,               0.004852
                     80,                0.17462,                0.17834,                 0.7812,                0.99766,                0.99448,                0.99477,                0.99462,                0.11099,                 0.0992,                0.74528,               0.004786,               0.004786,               0.004786
                     81,                0.17316,                0.17948,                0.78085,                0.99745,                0.99418,                0.99463,                0.99447,                0.11153,                0.10806,                0.74584,                0.00472,                0.00472,                0.00472
                     82,                0.17404,                0.17947,                0.78047,                0.99756,                0.99366,                0.99456,                 0.9943,                0.11078,                 0.0994,                 0.7454,               0.004654,               0.004654,               0.004654
                     83,                0.17254,                0.17497,                 0.7793,                0.99759,                0.99396,                0.99461,                0.99439,                 0.1101,                0.09632,                0.74511,               0.004588,               0.004588,               0.004588
                     84,                0.17183,                0.17251,                0.78032,                0.99787,                0.99444,                0.99479,                0.99459,                0.10961,                0.09546,                0.74531,               0.004522,               0.004522,               0.004522
                     85,                0.17329,                 0.1737,                0.78016,                0.99768,                0.99421,                0.99456,                0.99442,                0.10971,                0.09742,                0.74517,               0.004456,               0.004456,               0.004456
                     86,                 0.1718,                0.17227,                0.77969,                0.99757,                0.99388,                0.99471,                0.99457,                0.10944,                0.09617,                0.74509,                0.00439,                0.00439,                0.00439
